winner,loser,round
tightend7890,paede17,1
jase,jondoe297,1
dangiboss,necro___,1
potthemaster,james arc,1
raysaber,dale,1
wavment,danicasi,1
freshirl,puy,1
juve89,evansGR,1
shifty786,Sdlkilla,1
grumplestielzchen,nightmoves,1
gyomberman,sh4mwow,1
rabbid,Dingosig,1
bobby bodega,King Crotalus,1
duelinghigh101,Ghostrider15,1
giya76,p-epoxy,1
apex,thesauze,1
ale_1997,KCFILOSOFOS,1
dont copy,berndig,1
leop-huncho,andend,1
rykoko7,shaggy powers,1
sesto,Mercenary,1
geistD,SmokerSoul,1
kappas,camposssssss,1
carl waite,slashtap,1
splevin,AlephYa2,1
nb96,diellorr,1
rrhyddhad,marcuslol,1
kit,ludovirizzo,1
mr. demon,john wick,1
marou13,FabioKing94,1
notsofast,riccardo lari,1
mmf,baldo98,1
moxies,zogler,2
duelinghigh101,jase,2
sesto,rabbid,2
kit,ale_1997,2
grumplestielzchen,tightend7890,2
apex,splevin,2
Marcus Hayden,potthemaster,2
Purple Drunk,gyomberman,2
nb96,dangiboss,2
leop-huncho,marou13,2
shifty786,juve89,2
raysaber,rrhyddhad,2
mmf,lukaz,2
AJTBLS,carl waite,2
geistD,bobby bodega,2
Aalvarado,wavment,2
giya76,kappas,2
freshirl,ivan rossitto,2
dont copy,me. demon,2
SdlKilla,dingosig,2
berndig,nightmoves,2
FabioKing94,evansgr,2
dale,slashtap,2
AlephYa2,camposssssss,2
ludovicorizzo,p-epoxy,2
john wick,puy,2
james arc,thesauze,2
smokersouls,baldo98,2
KCFILOSOFOS,jondoe297,2
diellorr,andend,2
mercenary,Ghostrider15,2
shaggy powers,necro___,2
King Crotalus,sh4mwow,2
danicasi,riccardo lari,2
marcuslol,nosofast,2
moxies,nb96,3
leop-huncho,ajtbls,3
raysaber,giya76,3
rykoko7,freshirl,3
mmf,dont copy,3
marcushayden,apex,3
geistD,purple drunk,3
kit,grumplestielzchen,3
duelinghigh101,sesto,3
aalvarado,shifty786,3
necro,p-epoxy,3
sh4mwow,puy,3
dingosig,nightmoves,3
evansgr,baldo98,3
andend,camposssssss,3
shaggy powers,zogler,3
alephya2,wavment,3
jondoe297,slashtap,3
marou13,dangiboss,3
berndig,diellorr,3
rabbid,splevin,3
notsofast,lukaz,3
bobby bodega,KCFILOSOFOS,3
james arc,kappas,3
danicasi,King Crotalus,3
tightend7890,Sdlkilla,3
dale,gyomberman,3
ludovicorizzo,ivan rossitto,3
potthemaster,labounty,3
smokersouls,Mercenary,3
marcuslol,jase,3
FabioKing94,mr.demon,2
ale_1997,john wick,3
juve89,paede17,3
carl waite,rrhyddhad,3
baldo98,puy,4
duelinghigh101,mmf,4
paede17,splevin,4
camposssssss,dangiboss,4
zogler,kappas,4
smokersouls,bobby bodega,4
nb96,danicasi,4
evansgr,jondoe297,4
freshirl,potthemaster,4
grumplestielzchen,sesto,4
necro,king Crotalus,4
giya76,dale,4
rrhyddhad,mr.demon,4
rykoko7,raysaber,4
SdlKilla,wavment,4
p-epoxy,nightmoves,4
dingosig,sh4mwow,4
KCFILOSOFOS,shaggy powers,4
juve89,notsofast,4
gyomberman,diellorr,4
moxies,leop-huncho,4
mercenary,lukaz,4
tightend7890,shifty786,4
marcuslol,rabbid,4
marou13,purple drunk,4
jase,Ghostrider15,4
ajtbls,AlephYa2,4
james arc,ludovicorizzo,4
FabioKing94,berndig,4
aalvarado,geistd,4
carl waite,apex,4
Ivan Rossitto,andend,4
ale_1997,dont copy,4
john wick,labounty,4
marcushayden,kit,4
moxies,aalvarado,5
duelinghigh101,marcushayden,5
baldo98,camposssssss,5
dont copy,notsofast,5
labounty,king Crotalus,5
lukaz,sh4mwow,5
paede17,bobby bodega,5
evansgr,necro___,5
marcuslol,raysaber,5
shifty786,Mercenary,5
KCFILOSOFOS,gyomberman,5
